编号,体式,标准/不标准,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
113,downdog,standard,582.41081,452.46652,-49.64728,558.66505,452.49257,-102.69104,557.15881,449.6771,-103.0332,555.86864,446.97893,-103.10038,559.08195,452.63307,-30.08649,557.94788,449.92528,-30.83603,556.40209,447.42731,-31.06238,550.02705,422.2424,-239.62748,549.91096,422.18511,89.85889,594.7332,431.4992,-84.88418,596.38855,432.97557,7.20188,591.13678,352.8644,-389.85977,591.48476,350.5229,287.57681,507.9496,482.56197,-603.20152,523.46699,477.47586,282.29019,433.89317,597.10002,-589.00459,452.95322,568.44429,-10.53315,414.71508,617.35396,-670.19821,429.2469,577.59401,-41.48378,411.40636,615.32029,-635.7135,430.40997,583.64692,-97.66934,413.59932,612.32527,-576.94374,436.30878,582.31539,-47.37322,856.5921,137.787,-222.72446,846.86325,156.98375,222.44701,1020.54314,349.8479,-186.72443,1010.35736,355.90165,209.21043,1157.13112,541.4044,-181.50515,1145.71411,529.32507,298.27427,1193.8369,579.40105,-194.54126,1176.605,558.62599,301.27645,1068.4198,591.8756,-383.57262,1067.52518,584.99584,168.75629
114,downdog,standard,223.85578,173.43575,4.17449,217.05172,176.09255,-12.37692,215.72458,175.42947,-12.51378,214.42333,174.80335,-12.50675,217.70964,176.48672,7.6365,216.75593,176.07439,7.35997,215.66534,175.74879,7.29709,207.49401,168.13649,-56.06567,207.57728,168.81597,35.42364,223.98861,165.72902,-5.75994,225.07755,166.45372,19.64097,205.77492,145.40117,-70.89899,201.2958,137.83029,79.15463,166.18563,188.64796,-118.68692,164.89765,172.15396,93.4679,123.748,215.97582,-94.59484,128.23703,192.62582,14.15926,110.10754,220.1208,-111.37353,117.94358,195.6177,8.53591,107.29379,218.54819,-100.15091,116.90261,196.50861,-6.88156,111.89074,217.07918,-89.54418,120.51956,196.33473,5.05135,278.50791,53.27819,-57.42877,277.13733,49.96777,57.27624,325.60559,125.01932,-17.7802,324.35672,120.45934,86.16413,370.35174,202.11958,26.41803,359.36054,188.02333,152.74603,382.18692,215.11235,26.82046,371.88929,201.01817,157.96855,335.49763,220.72128,-18.26312,326.97886,204.97236,128.42413
115,downdog,standard,309.3718,292.31945,-51.57352,295.18191,300.46321,-67.72699,292.92593,299.14619,-68.02518,290.62506,297.92886,-67.96635,297.25007,301.70366,-38.34594,296.28196,301.20207,-38.89102,295.0293,300.84515,-39.06752,276.93549,285.17982,-92.35359,281.92203,288.22436,39.63902,308.08395,275.39389,-52.76447,310.87515,278.74115,-16.98015,283.95176,234.66438,-109.52329,284.0094,243.14202,92.38181,211.86842,307.57874,-205.49075,213.39812,306.86088,84.15847,118.90951,360.30919,-222.20464,134.24195,345.12412,-11.40135,94.8231,365.0781,-252.99866,111.32208,348.21121,-36.55466,92.29755,359.79859,-248.53781,109.44639,346.1518,-53.37499,102.14365,358.62516,-221.86915,116.82527,346.0438,-25.27771,389.10954,66.98499,-79.10505,388.24303,80.16743,78.85563,486.68024,198.6201,-1.59111,481.87251,202.75517,35.34063,579.10362,327.37112,38.58733,570.64778,325.32041,74.46653,604.72487,348.95997,38.06157,594.34016,346.76614,76.74347,535.18373,373.39088,-29.93057,518.05633,356.097,21.0587
116,downdog,standard,453.96606,566.39662,5.86766,433.45276,575.3871,-28.82394,431.00742,574.26159,-29.20303,428.80594,573.04259,-29.20015,435.39972,575.72042,26.15734,434.14233,574.93233,25.54365,432.92432,574.17869,25.39194,413.92023,556.62231,-127.27415,416.5174,557.75625,125.48666,454.05798,549.70264,-19.02704,456.81863,549.97834,51.32321,410.02405,498.1544,-197.36,406.92596,490.94723,245.13443,344.21472,587.56981,-377.39276,334.5047,565.14656,277.8187,231.3533,673.38792,-367.06464,252.94092,637.29574,49.0518,196.23264,681.09072,-418.49719,225.90109,641.67242,31.1846,188.80667,678.92245,-389.39651,223.00183,643.11659,-14.24451,200.63278,675.05135,-354.99857,230.48459,642.73879,20.8128,536.33984,303.52367,-160.93733,536.96307,297.45809,160.54628,654.85944,469.90769,-91.91893,648.67151,468.8884,153.05502,776.28235,626.81188,-80.16284,752.27173,612.48329,261.10013,821.32312,651.79973,-91.05383,782.97412,632.53431,266.15771,712.66919,676.57073,-232.52922,686.50458,658.3535,174.83281
118,downdog,standard,480.22928,460.56013,-63.11739,457.82704,459.57216,-102.32614,456.71697,457.17334,-102.81975,455.61776,454.66517,-102.77256,457.5649,459.90103,-44.28309,456.13611,457.95245,-44.97807,454.43358,455.98859,-45.17321,453.16336,430.745,-208.47099,451.22259,434.00219,56.23915,496.06805,446.43097,-88.82783,495.31446,448.68202,-15.52527,492.15696,372.45262,-300.40863,489.99578,362.89411,200.801,383.19722,471.61128,-522.41181,391.17841,450.32156,227.40042,274.30412,556.84196,-552.32424,300.08243,514.99853,-15.8558,239.37739,563.30517,-622.93968,277.39694,511.93036,-38.23951,233.39814,558.0216,-586.22453,273.99566,513.02397,-90.72717,247.33833,556.77296,-539.20702,281.52979,516.17604,-48.26678,717.11068,177.27985,-174.73388,709.59728,175.82824,174.45667,825.09899,359.71038,-33.56714,820.80531,355.26365,232.35006,916.81359,524.70104,92.5681,899.14134,503.69994,367.7811,941.63754,549.86904,93.94396,925.04404,532.88985,374.68114,824.26951,556.17731,-51.34847,821.75345,544.39982,258.21286
12,downdog,nonstandard,237.60689,311.87418,-21.41624,220.82657,314.76206,-60.69221,219.38417,313.17817,-61.03033,218.19929,311.3974,-61.03054,219.69226,314.99996,-5.69748,217.59149,313.62073,-6.18644,215.50383,312.0203,-6.2296,210.83534,295.52892,-172.69182,208.38056,295.73792,78.38256,244.16424,299.93842,-51.15991,244.36596,299.80248,19.17811,232.39614,253.06348,-264.49191,227.33735,233.0992,218.34938,165.61556,327.78879,-398.31417,150.97353,296.69738,275.27719,48.91014,364.10246,-364.98772,61.72749,322.09164,72.46974,30.8965,367.93472,-416.48503,42.7633,323.47082,55.22155,27.12665,359.92872,-394.8292,39.90297,324.76556,11.48012,32.86956,359.23458,-355.14281,45.97098,325.7102,45.96381,381.43954,79.42029,-173.96211,367.8605,59.84045,173.62412,490.31322,200.7753,10.95556,486.36588,191.59669,307.67449,589.91462,309.09121,124.98421,573.15772,287.41752,501.84951,610.13884,326.99731,125.49827,592.32872,299.65791,515.44616,536.26484,346.2689,-3.00275,528.37169,329.19777,430.37461
120,downdog,standard,460.62285,341.31938,38.57846,478.26976,349.69046,47.62328,481.02981,348.38976,47.16685,484.40301,346.79118,47.1573,478.00887,349.24307,9.59072,480.62202,347.68824,9.15859,484.39479,345.6881,8.90553,500.51838,330.62378,92.80393,503.2171,329.05958,-80.05954,460.61167,324.70852,67.24149,461.69734,324.30384,13.35711,502.79284,269.0291,129.77949,501.36805,270.63064,-99.74349,565.59932,343.20494,190.85656,570.27996,361.31883,-268.32828,652.72987,397.28692,74.52032,660.26127,417.19913,-240.82519,678.85077,399.33567,77.17191,689.84914,426.76991,-278.50008,685.42707,399.46945,42.23156,696.87712,422.52096,-252.1278,676.35798,401.2314,60.12913,687.17802,420.37057,-233.35615,364.59777,88.22205,87.42262,363.93926,85.23685,-88.01969,266.38636,232.93157,98.32999,259.95252,235.13224,-76.74964,158.53293,374.51281,107.98349,152.00353,380.42701,-58.00714,129.80278,396.18925,102.6634,119.05795,401.93484,-58.81098,220.44967,414.16723,25.53935,215.56714,419.5617,-136.81385
121,downdog,standard,527.93581,329.13503,-29.71131,519.38108,336.30231,-47.71705,517.43751,335.67426,-47.94535,515.59431,335.10088,-47.88691,519.92486,336.51936,-20.17509,518.45335,336.05284,-20.56392,516.82207,335.6059,-20.65545,506.04168,326.93386,-93.15406,507.1941,327.69638,33.02132,525.74725,317.95605,-39.54655,526.30149,318.54749,-4.65468,505.60273,289.76883,-108.70299,497.6995,286.13438,87.50939,453.05505,339.57864,-182.3324,455.28388,333.05744,95.81044,393.90895,374.81748,-171.88216,405.39809,363.08066,-7.70939,375.4211,377.05248,-196.4743,388.80315,366.27359,-19.73725,372.49267,376.65467,-185.14908,386.97486,367.2831,-40.57541,379.6295,375.56462,-167.38431,392.73805,366.05139,-21.08305,595.40171,179.60608,-73.85053,586.95335,184.7602,73.64118,647.31266,267.33285,-46.98652,641.37385,268.25346,61.89412,712.34576,355.61074,-16.81672,699.20649,345.99157,105.6381,727.80812,369.42236,-19.27172,714.52765,361.18373,107.0737,673.25924,378.95806,-82.20719,665.96203,371.38582,60.08869
123,downdog,standard,1142.35574,1344.89877,128.02904,1066.67029,1351.65523,-3.06767,1058.4819,1343.71761,-4.59365,1052.11588,1336.65395,-4.34143,1067.07944,1351.93126,155.25334,1060.40726,1343.85123,152.62696,1053.15976,1336.39687,151.73194,1013.70456,1269.29375,-342.26965,1016.63168,1266.60278,378.91441,1161.58401,1291.44095,57.49344,1165.9454,1288.49854,256.57372,1122.98776,1118.70813,-556.86031,1140.81839,979.37505,807.7023,966.82727,1553.24515,-1119.46729,990.07764,1371.04555,947.55698,658.65747,1959.2184,-1053.64847,848.9935,1595.34338,240.77094,533.73138,1989.89552,-1243.24832,757.61133,1593.65121,214.28531,507.56433,1952.66066,-1103.13748,744.84082,1612.81151,57.8099,552.09801,1944.5934,-996.29398,771.91901,1626.45158,154.55146,1960.83307,442.10742,-450.25017,1922.84473,364.55589,448.39499,2362.79059,1119.31265,68.86392,2315.97089,1048.87209,1007.66318,2671.59247,1694.57451,538.67885,2553.02142,1531.07021,1532.60806,2775.53705,1795.17371,557.73985,2641.25665,1593.11838,1571.9328,2350.52051,1827.05411,206.8017,2299.65619,1690.4604,1292.29605
125,downdog,standard,349.95912,301.62169,15.04319,364.17297,308.75464,18.80093,366.3624,308.22346,18.40459,368.47753,307.04867,18.34847,364.09237,308.37389,-14.58375,366.32036,307.66826,-15.00309,368.90934,306.37488,-15.2146,381.40937,293.19205,53.57487,382.84272,292.82284,-99.67817,348.55965,287.81628,41.26514,349.471,287.73517,-6.48454,377.73351,234.5294,112.47296,371.10606,238.18095,-100.86303,435.04505,309.18134,185.87163,439.61406,329.76312,-252.23674,509.73668,356.21449,57.73687,521.16754,393.68975,-227.85477,534.30194,360.49898,62.11729,547.55745,402.9276,-266.0144,537.51172,362.24661,23.30807,555.45532,399.1936,-234.0555,527.48255,362.15383,41.92454,545.0307,396.14673,-217.31198,218.28116,82.22505,84.37009,209.54359,77.68694,-84.87833,136.67186,222.37721,134.09283,129.37143,226.62329,-37.48675,89.30506,352.08786,194.64398,79.73071,363.99364,7.35665,71.26983,375.92787,194.26554,59.37613,386.70695,7.68559,150.95854,386.29179,133.67164,143.25902,393.39713,-63.26021
126,downdog,standard,236.38468,277.02984,-68.76797,219.18466,281.45414,-103.23681,216.69973,279.55457,-103.53935,214.97267,277.70798,-103.53029,220.74788,282.73113,-56.79281,219.08175,281.74248,-57.27719,217.61981,280.61515,-57.40415,208.25263,262.84092,-193.94628,208.95997,264.88554,18.76166,241.04042,262.53366,-90.54749,243.21609,264.13505,-31.2988,227.03594,212.72149,-262.18774,224.72508,207.22003,147.00435,172.76574,292.92028,-432.84851,171.81716,283.38777,177.60396,94.24964,364.42009,-458.84362,109.16334,333.12649,-21.16471,68.00488,372.04672,-517.82665,87.08476,334.78633,-41.02263,63.05246,366.88474,-491.07454,84.39415,335.27762,-81.02619,73.76449,363.04215,-449.63945,92.9027,334.77435,-45.7039,388.86897,71.44358,-141.6958,380.99552,74.95899,141.52057,461.15757,201.53967,-53.22962,453.64754,200.86628,203.91432,538.76875,332.18334,27.55225,520.15514,308.90058,325.24654,565.38442,356.04416,24.42124,546.05116,333.9014,331.67985,481.21817,359.17779,-112.67382,468.06725,344.41267,234.45354
127,downdog,standard,217.57413,246.51841,-95.69214,202.29862,245.44854,-123.34415,201.62194,243.66098,-123.63646,201.06197,241.77334,-123.62573,202.57662,246.51452,-83.2472,202.22837,245.43647,-83.68715,201.87492,244.20512,-83.82866,199.48261,227.84938,-192.66656,199.70243,229.84005,-10.13888,226.65211,237.84053,-111.96099,228.46238,240.09951,-61.24856,222.84912,191.12941,-256.09333,225.06255,191.40316,99.57602,167.3134,249.32893,-404.19411,166.38142,244.52,104.28799,95.87559,300.62405,-424.89704,104.90602,289.53886,-76.26842,74.37761,305.89765,-476.08968,88.84676,291.74121,-97.63684,69.79743,302.31126,-455.85407,83.95203,291.59033,-130.58387,77.59649,300.68389,-418.62007,90.17887,290.64028,-98.08474,373.09011,73.85911,-120.8345,369.54713,83.52602,120.68879,442.93823,179.44491,-42.67681,437.75077,182.66407,160.75639,517.44001,280.37301,28.94503,503.46341,268.37524,256.68558,533.50566,295.88836,27.21677,519.64525,284.89187,261.68833,468.84139,305.67497,-95.07368,459.93541,295.87638,172.18738
129,downdog,standard,1702.78113,1669.68805,221.84337,1763.03418,1691.50545,116.53984,1782.59332,1680.52313,114.7062,1799.16193,1668.51887,115.24496,1710.21955,1711.84759,44.8929,1695.18772,1716.98613,42.28112,1680.47428,1722.73084,41.76061,1810.27885,1597.48865,-116.84049,1660.88415,1679.27656,-465.00158,1706.90805,1593.04314,222.60106,1654.54725,1617.01993,104.66256,1920.54407,1258.95448,26.5644,1465.93589,1509.52486,-308.63178,2192.53346,1691.76819,554.81571,1681.31886,2026.78718,-843.41606,2573.55035,2043.53626,223.08212,2064.99005,2471.96869,-1047.03922,2713.69476,2072.69687,182.22481,2113.24736,2598.95247,-1299.42229,2672.88214,2115.01119,-3.63967,2200.86616,2548.85594,-1205.94678,2604.62839,2108.15205,153.28304,2192.22241,2483.40084,-1036.92134,1287.51943,288.98765,192.22478,1056.76614,415.50282,-194.75247,1110.54772,857.40224,1476.04374,772.85249,1009.85093,802.25475,973.74268,1166.59123,2697.85711,488.1561,1411.28389,1804.13982,895.05994,1173.78575,2789.92544,376.37586,1464.35203,1884.02804,1121.24257,1370.60155,2433.46922,742.46406,1634.55752,1474.89717
13,downdog,nonstandard,192.07983,456.99671,4.79959,180.86345,462.70646,-15.89976,178.73609,461.73871,-16.16231,176.51016,460.88852,-16.14994,182.59957,463.32531,14.80355,181.70947,462.82563,14.34607,180.54214,462.48779,14.18772,167.38285,450.64114,-71.14284,170.37417,452.04073,68.758,193.0975,445.00131,-8.066,195.30475,445.28089,30.5859,169.69992,401.0446,-115.83084,179.18271,410.91744,135.14146,128.42624,475.85152,-216.94162,143.10391,474.13364,127.33768,70.02681,536.75227,-207.80122,100.22716,523.13097,-5.68235,50.51787,539.64995,-238.01281,84.14297,524.01781,-19.02331,47.70276,538.00475,-220.73729,78.91171,525.49854,-41.68274,54.94478,537.46443,-201.10609,83.05436,525.7567,-21.31895,286.78563,290.21194,-88.47651,291.82273,302.21412,88.33575,379.74483,398.79262,-62.27376,381.68842,397.73062,54.50948,453.57463,503.33422,-53.60561,449.91815,499.93053,92.18059,473.78018,516.53996,-58.53075,468.12814,512.66942,92.71533,414.70486,540.06379,-121.90946,413.85919,535.65063,44.79146
132,downdog,standard,1157.53909,1344.70195,-177.92959,1131.60426,1354.74955,-234.09369,1124.94669,1352.25002,-234.83917,1118.62753,1349.75345,-234.74885,1140.83664,1356.43775,-136.52298,1140.48925,1355.1151,-137.61328,1140.10094,1353.93188,-137.91908,1091.30677,1322.157,-369.69345,1118.16969,1329.64466,78.44781,1155.96291,1314.06552,-205.42012,1165.26051,1315.69166,-81.13051,1083.32351,1211.46799,-486.73255,1119.64048,1214.23739,342.78304,948.96434,1376.65235,-888.2651,979.64451,1352.75602,394.00852,781.90599,1513.60157,-920.4314,830.71004,1475.10457,-76.4884,725.71287,1519.80143,-1031.89942,782.73796,1478.50274,-118.35159,716.65235,1514.37385,-965.25203,775.31556,1478.699,-206.42587,737.52956,1513.45897,-894.41547,791.97739,1481.05338,-131.90991,1458.47846,914.32662,-292.98849,1455.92841,924.27231,292.6247,1647.6294,1194.11489,-78.9883,1639.80588,1191.67434,383.6491,1833.46133,1470.62163,103.56268,1792.55069,1430.66316,684.47663,1882.52171,1511.31619,98.0794,1843.13736,1480.5439,701.54026,1694.96006,1531.35006,-187.67804,1676.48412,1500.96622,491.15454
